,FBH400-40,FBH510-10,FBH630-10,FBH700-40,FBH770-10,FESH0500,FESH0750,FESH0750_NF633-25,350nm,550nm,750nm,950nm
25.0,-1.0680177538560218e-08,-8.285259155601514e-08,-1.1847393505083702e-07,5.5855959204301995e-08,-1.4501506247463183e-07,4.1764735020623395e-08,1.8931771911445685e-07,1.9997277204197695e-07,9.458200000000005e-08,2.7097000000000047e-08,-2.0376000000000023e-08,-2.3039999999998597e-09
27.5,-1.6365005325733474e-08,-4.5416373722165273e-08,-9.887599819211828e-08,2.9439725593281344e-08,-1.063579990400159e-07,2.3836056550481227e-08,1.8035306442976694e-07,1.800742143037615e-07,7.61514000000001e-08,2.3726199999999836e-08,-6.916399999999976e-09,1.1294000000000048e-09
30.0,-2.641564404722682e-08,-2.6142924796894963e-08,-6.419677461947194e-08,-4.611103457072209e-08,-6.845967288278133e-08,8.719691990884743e-09,1.7149760972748936e-07,1.734857195850847e-07,6.383990000000003e-08,2.259569999999997e-08,8.990999999999792e-10,4.23370000000006e-09
32.5,-1.9823247273479358e-08,-1.2170126594401046e-08,-3.853437702050223e-08,-3.6413505014689724e-08,-3.4493386504792554e-08,-9.653098976385253e-10,1.6847543074282373e-07,1.564559021897138e-07,5.050999999999994e-08,1.979029999999997e-08,4.50579999999999e-09,5.838600000000061e-09
35.0,-1.7713016739799793e-08,-1.0703221605155907e-08,-2.036765474379046e-08,-2.3979313793515e-08,-1.3238237701881082e-08,-1.134309811897251e-08,1.5352131854717537e-07,1.4559409398459766e-07,4.107879999999998e-08,1.61398e-08,7.750299999999976e-09,5.8100000000000765e-09
37.5,-1.503296764288256e-08,-5.998236478218266e-09,-1.169081413817157e-08,-2.137105776844762e-08,1.87114491852451e-09,-1.318625071698388e-08,1.5139027609447237e-07,1.2434745181495972e-07,3.509589999999994e-08,1.4996200000000048e-08,8.214699999999942e-09,5.8820999999999915e-09
40.0,-1.3205281495429179e-08,-1.1271448522763304e-08,-3.840078519081674e-09,-2.0556656467221745e-08,6.792784242814022e-09,-2.8217516358587493e-08,1.3588259947261254e-07,1.0602421834995219e-07,2.9770999999999956e-08,1.3318000000000014e-08,8.55880000000006e-09,5.804700000000015e-09
42.5,-1.2677411466376351e-08,5.7394498287416514e-09,9.564771721363205e-10,-1.8101174050098618e-08,1.1559811772012544e-08,-2.123964654279982e-08,1.2653112211895456e-07,9.534771723743058e-08,2.6575300000000067e-08,1.3363699999999984e-08,8.13200000000001e-09,6.622000000000044e-09
45.0,-1.0028245524146718e-08,-4.387909069192626e-10,1.917871236413314e-09,-1.556031014422041e-08,1.1792221744173698e-08,-2.912651573195834e-08,1.2499691794252745e-07,8.641086791634148e-08,2.4555999999999998e-08,1.1947700000000072e-08,9.599499999999966e-09,6.200599999999995e-09
47.5,-7.336632179994736e-09,7.270636395763349e-10,1.2892239792716987e-09,-1.324505740440731e-08,1.538454649892003e-08,-3.7804610724921476e-08,1.2094680238666263e-07,8.033912467084082e-08,2.1266700000000025e-08,1.0307700000000012e-08,9.929899999999939e-09,5.454399999999959e-09
50.0,-9.357913475805484e-09,-3.934704950173158e-09,3.411445654282715e-09,-1.445288659046954e-08,1.51273477229627e-08,-3.978273691689673e-08,1.1814846162953406e-07,7.182936988200992e-08,1.9668499999999975e-08,1.1778299999999991e-08,9.345499999999943e-09,6.261599999999985e-09
