,FBH400-40,FBH510-10,FBH630-10,FBH700-40,FBH770-10,FESH0500,FESH0750,FESH0750_NF633-25,350nm,550nm,750nm,950nm
321.0,6.259052939807898e-09,3.9482256495420285e-08,1.7161297288644595e-08,5.0814307320837025e-08,2.155832398807646e-08,2.11689249008551e-06,1.4920764387743897e-06,8.788330224381155e-11,0.0,0.0,0.0,0.0
322.0,7.342600332401583e-09,3.9024459999558173e-08,1.9821858526200244e-08,5.1690799288392565e-08,2.8294795915734483e-08,1.6967252941184938e-06,8.360546802805807e-07,5.3173077665844936e-11,0.0,0.0,0.0,0.0
323.0,7.357241513189023e-09,3.716293907247897e-08,2.395670976036511e-08,5.7254416768009926e-08,3.0261805848950005e-08,3.3595251400785148e-06,1.1055374543532896e-06,5.980957628051296e-11,0.0,0.0,0.0,0.0
324.0,7.085336422702115e-09,4.659156261028588e-08,2.3363138704141374e-08,6.611105972889433e-08,2.9542510530712263e-08,3.7205741097184512e-06,1.992930094897402e-06,9.36677144601779e-12,0.0,0.0,0.0,0.0
325.0,9.536025596825463e-09,4.721850431078357e-08,2.9675999332025742e-08,7.389952039196727e-08,3.081187008626675e-08,3.4097599739104303e-06,2.3863755931099767e-06,4.486386115046755e-11,0.0,0.0,0.0,0.0
326.0,1.6555513274740675e-08,5.2739796283281125e-08,3.416898063196593e-08,8.491572389572135e-08,3.1434472056568116e-08,1.5028274160078274e-06,1.2959823702983063e-06,5.793041195233429e-11,0.0,0.0,0.0,0.0
327.0,8.311865370824463e-09,5.134590575959477e-08,3.066407126296463e-08,8.905289212559847e-08,3.327135815767001e-08,3.831146779485215e-06,2.593618488412825e-06,1.5224540526983282e-10,0.0,0.0,0.0,0.0
328.0,1.0025468807817344e-08,5.441547996694289e-08,3.9539897496326174e-08,9.09558830941512e-08,3.594449951623106e-08,7.987139876678008e-06,1.317420994495724e-06,7.733261237689899e-11,0.0,0.0,0.0,0.0
329.0,1.712990492506363e-08,6.267121526790959e-08,4.286135050226756e-08,1.0452328750695174e-07,4.050710891469995e-08,2.6992265328279433e-05,1.894805080078805e-06,8.678207266760927e-11,0.0,0.0,0.0,0.0
330.0,1.0376535478696355e-08,6.938643736999144e-08,3.934717426870377e-08,1.2818213085861816e-07,3.888817353228622e-08,4.7709320684609333e-05,3.0450957467364247e-06,2.8623900019322393e-11,0.0,0.0,0.0,0.0
331.0,1.2327184348514744e-08,6.622987235016688e-08,4.023578847523578e-08,1.5020171839004678e-07,4.716836661232701e-08,5.9133954715740605e-05,3.6329633594611416e-06,9.373045467409742e-11,0.0,0.0,0.0,0.0
332.0,2.1059943155408698e-08,7.829625000110443e-08,4.778016498514603e-08,1.4176749120382713e-07,4.42970248963058e-08,6.704159827068836e-05,2.3503520693273813e-06,1.0177024460187563e-10,0.0,0.0,0.0,0.0
333.0,3.452376241713892e-08,8.99990640969473e-08,4.864483906886908e-08,1.2604165401169705e-07,5.397664520378012e-08,5.849797969150498e-05,4.1471620373688576e-06,1.310503203808559e-10,0.0,0.0,0.0,0.0
334.0,1.4039462890864339e-08,9.375267008883705e-08,6.294146258911741e-08,1.6386877045602569e-07,6.348161802770044e-08,2.9275770698015908e-05,1.5817669856387364e-06,9.996767349236813e-11,0.0,0.0,0.0,0.0
335.0,1.5481334155110455e-08,1.026978895679948e-07,5.7155456740915506e-08,2.098059812303471e-07,6.76725571635648e-08,1.9976690683523913e-05,3.1985694444981183e-06,1.5704975972485763e-10,0.0,0.0,0.0,0.0
336.0,1.6624786751712342e-08,1.0601795126925081e-07,5.724355970390057e-08,2.048133907209781e-07,7.381643386632232e-08,1.676286418351794e-05,3.846308068503666e-06,4.6155696822044e-12,0.0,0.0,0.0,0.0
