,FBH400-40,FBH510-10,FBH630-10,FBH700-40,FBH770-10,FESH0500,FESH0750,FESH0750_NF633-25,350nm,550nm,750nm,950nm
318.0,4.629571737237209e-08,2.0799123626126002e-07,1.6229448517267166e-07,3.1749874256756567e-07,1.122141191891885e-07,2.0105379279279158e-05,8.164897072072021e-06,4.2620762716215953e-10,0.0,0.0,0.0,0.0
319.0,6.924973178021739e-08,2.198601299737227e-07,1.4880778791291222e-07,3.410531953359594e-07,1.2951459756475165e-07,2.0733018158783687e-05,1.0693710960960911e-05,5.026044151651627e-11,0.0,0.0,0.0,0.0
320.0,1.2305253354917372e-07,2.683678339339329e-07,1.4805824438438384e-07,3.695053862612598e-07,1.5291497698948892e-07,1.245745630630626e-05,6.468064489489465e-06,3.3504574055555424e-10,0.0,0.0,0.0,0.0
321.0,4.834290896865603e-08,3.049482325825818e-07,1.325483328847594e-07,3.924733432901641e-07,1.6650955090090047e-07,1.635019577702698e-05,1.1524317839714683e-05,6.787823207591948e-10,0.0,0.0,0.0,0.0
322.0,5.618474545045035e-08,2.986107444444439e-07,1.5167461460960936e-07,3.9553213693693624e-07,2.1650857109609573e-07,1.2983149624624601e-05,6.397395645645635e-06,4.068743630630624e-10,0.0,0.0,0.0,0.0
323.0,5.577832091403898e-08,2.817477634759757e-07,1.8162582302927908e-07,4.3406964777590046e-07,2.2942739001501474e-07,2.546996330705703e-05,8.381541206831822e-06,4.534413792896015e-10,0.0,0.0,0.0,0.0
324.0,5.322671100788287e-08,3.500067591028527e-07,1.755093841497747e-07,4.966418050863361e-07,2.2193027637012004e-07,2.7949826388888878e-05,1.4971358858858852e-05,7.036538663663661e-11,0.0,0.0,0.0,0.0
325.0,7.098906563532283e-08,3.515088615990992e-07,2.209171360735736e-07,5.50130434346847e-07,2.2937290233671176e-07,2.5383287002627634e-05,1.7764903406531533e-05,3.339801840427928e-10,0.0,0.0,0.0,0.0
326.0,1.2213977433183191e-07,3.8909254635885914e-07,2.520846991741744e-07,6.264733192942949e-07,2.319106185060062e-07,1.1087243168168177e-05,9.561225412912921e-06,4.273867759572076e-10,0.0,0.0,0.0,0.0
327.0,6.077685963963988e-08,3.7544435192307833e-07,2.2421753384875346e-07,6.511601047124072e-07,2.432821724792109e-07,2.801357573631334e-05,1.8964694421344497e-05,1.113227562532922e-09,0.0,0.0,0.0,0.0
328.0,7.26614403707555e-08,3.9438626049896123e-07,2.865727238565494e-07,6.592195938669451e-07,2.605144116770622e-07,5.788827425502436e-05,9.54825244282746e-06,5.604824183939719e-10,0.0,0.0,0.0,0.0
329.0,1.23068663718815e-07,4.5025718183471937e-07,3.0793452471413727e-07,7.50940613929314e-07,2.9102063245842e-07,0.00019392413672037422,1.3613101195426196e-05,6.234800347505198e-10,0.0,0.0,0.0,0.0
330.0,7.390455496881485e-08,4.941893934857927e-07,2.802414553083849e-07,9.129485805266793e-07,2.769723251420648e-07,0.0003397989743589739,2.16880139293139e-05,2.0386733093555064e-10,0.0,0.0,0.0,0.0
331.0,8.703893994715844e-08,4.6763135191441314e-07,2.840941027416832e-07,1.06053401793139e-06,3.330431761954252e-07,0.0004175289821119184,2.5651379158004085e-05,6.618055822765052e-10,0.0,0.0,0.0,0.0
332.0,1.474205941995836e-07,5.480774384615364e-07,3.344634057692295e-07,9.92379116943863e-07,3.1008126106028985e-07,0.0004692943461538444,1.6452575207900145e-05,7.123965065020763e-10,0.0,0.0,0.0,0.0
333.0,2.396086123445935e-07,6.246292220420391e-07,3.3761448842642486e-07,8.747790999849811e-07,3.7461933899399225e-07,0.00040599919468468286,2.8782950390390257e-05,9.095412323363323e-10,0.0,0.0,0.0,0.0
334.0,9.661613879879852e-08,6.451828717717698e-07,4.331477018018006e-07,1.1277046703453421e-06,4.3686491899399275e-07,0.00020146867064564509,1.0885332282282252e-05,6.879530002402383e-10,0.0,0.0,0.0,0.0
335.0,1.056460963258257e-07,7.008201634984977e-07,3.9003427145870824e-07,1.431735965435434e-06,4.618039647672667e-07,0.00013632283671921908,2.1827342027027e-05,1.0717224935270258e-09,0.0,0.0,0.0,0.0
336.0,1.1250647751651656e-07,7.174652179879882e-07,3.8738970664564575e-07,1.3860528548348353e-06,4.995448712312314e-07,0.00011344090186186191,2.6029481081081087e-05,3.123537729729731e-11,0.0,0.0,0.0,0.0
337.0,1.0889068264189207e-07,8.071591836186199e-07,4.149407543716223e-07,1.2149908221546565e-06,5.051782845720729e-07,0.00015388445378378403,4.1038556914414476e-05,1.0546909127004518e-09,0.0,0.0,0.0,0.0
338.0,1.0042694701249659e-07,9.137085170008738e-07,4.788263304562638e-07,1.1285793733217113e-06,5.691347857890161e-07,0.00048395251203138735,2.2305559604766105e-05,9.903668464516154e-10,0.0,0.0,0.0,0.0
339.0,1.620206145909621e-07,9.51571340653154e-07,4.6405566879758835e-07,1.349325991906424e-06,6.499802034183382e-07,0.0011913016389639652,4.81952585077013e-05,2.0290203831742247e-09,0.0,0.0,0.0,0.0
340.0,1.0824003530296423e-07,9.534096649738445e-07,4.951141210745422e-07,1.6541255922624231e-06,5.230768357454227e-07,0.0020669181586748034,2.022934378814298e-05,1.1105909739690495e-09,0.0,0.0,0.0,0.0
