,FBH400-40,FBH510-10,FBH630-10,FBH700-40,FBH770-10,FESH0500,FESH0750,FESH0750_NF633-25,350nm,550nm,750nm,950nm
25.0,1.2634211891548657e-06,1.1571519588764844e-06,1.2198686491135253e-06,1.3407515352900757e-06,1.1035660875367803e-06,1.4331858503463647e-06,1.4318107830745476e-06,1.6042671123770577e-06,1.0831200000000012e-06,1.0649900000000001e-06,9.707600000000015e-07,4.55059999999999e-07
27.5,1.2818958823516242e-06,1.1145542484472405e-06,1.2283354119805207e-06,1.310883176719848e-06,1.1120332983438852e-06,1.4484064296745837e-06,1.467641095766219e-06,1.6062990506496962e-06,1.0742000000000007e-06,1.0418800000000013e-06,9.336899999999985e-07,4.20576e-07
30.0,1.2961763315198955e-06,1.1134469661210475e-06,1.237226361819827e-06,1.3136956341945506e-06,1.0794646515668135e-06,1.4227451364397441e-06,1.4815285537504583e-06,1.6726060271482984e-06,1.0250880000000002e-06,9.658569999999994e-07,8.556800000000013e-07,3.824439999999986e-07
32.5,1.3159426807606426e-06,1.1270375730930468e-06,1.2042019137668705e-06,1.3140310829682911e-06,1.0672819598102296e-06,1.4457991937611359e-06,1.4779475964962191e-06,1.6864615535959263e-06,1.0275960000000009e-06,1.0015039999999998e-06,8.639540000000014e-07,3.5329299999999967e-07
35.0,1.3236957769190295e-06,1.1620753761237336e-06,1.2011224452513098e-06,1.3569262798719474e-06,1.0538451103920792e-06,1.4568444857866002e-06,1.5035575262655742e-06,1.6167363606076088e-06,1.0660370000000009e-06,9.675030000000003e-07,8.335499999999998e-07,3.257359999999994e-07
37.5,1.3111069216629651e-06,1.1521082933592773e-06,1.2046728632703035e-06,1.3595733770673018e-06,1.0806988592042542e-06,1.497759242157076e-06,1.4747383949386376e-06,1.6356471985542013e-06,1.051325999999999e-06,9.355970000000001e-07,7.972559999999996e-07,2.81845000000001e-07
40.0,1.3256441762259043e-06,1.1382075825747916e-06,1.2417170404321506e-06,1.3637741465860168e-06,1.0804932203898228e-06,1.503806724985434e-06,1.4877096295608098e-06,1.6453385740695614e-06,1.0395950000000007e-06,9.11403000000001e-07,7.63732e-07,2.610119999999992e-07
42.5,1.3371668495961875e-06,1.1340781567537448e-06,1.2411493407471886e-06,1.368141628045901e-06,1.073323225175425e-06,1.5030640815272658e-06,1.4997261977589147e-06,1.7506055151104307e-06,1.027065e-06,8.74589e-07,7.333759999999998e-07,2.3695100000000057e-07
45.0,1.3725956172908346e-06,1.1158107612139774e-06,1.2389649766910293e-06,1.3627060446333104e-06,1.0593670851982026e-06,1.5194769313694452e-06,1.5061641646249707e-06,1.750589544467884e-06,1.0180860000000005e-06,8.458010000000007e-07,6.967679999999998e-07,2.110280000000001e-07
47.5,1.389680846205496e-06,1.101433073897895e-06,1.2389613307854694e-06,1.3573108888896034e-06,1.054217222358289e-06,1.5126584894021793e-06,1.5426037058453495e-06,1.7048962558830344e-06,1.0034210000000004e-06,8.194820000000003e-07,6.685889999999997e-07,1.8757800000000036e-07
50.0,1.4025031870722667e-06,1.0976255552444663e-06,1.2184680039350375e-06,1.3502047761971365e-06,1.0360662534457439e-06,1.523288050420501e-06,1.555076991265005e-06,1.7065598887182052e-06,9.910530000000012e-07,7.879039999999998e-07,6.368600000000004e-07,1.6693000000000045e-07
